Date,City,month,Year,PM2.5,PM10,Nitric,NH3,CO,SO2,O3,AQI,AQI_Bucket,Season,Month
2015-01-01,Ahmedabad,1,2015,78.025,109.84,36.29,16.27,0.92,27.64,133.36,78.025,Satisfactory,Winter,Jan
2015-01-02,Ahmedabad,1,2015,78.025,109.84,33.120000000000005,16.27,0.97,24.55,34.06,78.025,Satisfactory,Winter,Jan
2015-01-03,Ahmedabad,1,2015,78.025,109.84,66.4,16.27,17.4,29.07,30.7,78.025,Satisfactory,Winter,Jan
2015-01-04,Ahmedabad,1,2015,78.025,109.84,38.15,16.27,1.7,18.59,36.08,78.025,Satisfactory,Winter,Jan
2015-01-05,Ahmedabad,1,2015,78.025,109.84,81.28,16.27,22.1,39.33,39.31,78.025,Satisfactory,Winter,Jan
2015-01-06,Ahmedabad,1,2015,78.025,109.84,165.39,16.27,45.41,45.76,46.51,78.025,Satisfactory,Winter,Jan
2015-01-07,Ahmedabad,1,2015,78.025,109.84,283.55,16.27,112.16,32.28,33.47,78.025,Satisfactory,Winter,Jan
2015-01-08,Ahmedabad,1,2015,78.025,109.84,214.36,16.27,80.87,38.54,31.89,78.025,Satisfactory,Winter,Jan
2015-01-09,Ahmedabad,1,2015,78.025,109.84,108.16,16.27,29.16,58.68,25.75,78.025,Satisfactory,Winter,Jan
2015-01-10,Ahmedabad,1,2015,78.025,109.84,81.815,16.27,29.16,8.29,4.55,78.025,Satisfactory,Winter,Jan
2015-01-11,Ahmedabad,1,2015,78.025,109.84,212.4,16.27,132.07,25.03,6.79,78.025,Satisfactory,Winter,Jan
2015-01-12,Ahmedabad,1,2015,78.025,109.84,182.95,16.27,52.04,51.84,45.89,78.025,Satisfactory,Winter,Jan
2015-01-13,Ahmedabad,1,2015,78.025,109.84,180.11,16.27,48.82,68.21,35.16,78.025,Satisfactory,Winter,Jan
2015-01-14,Ahmedabad,1,2015,78.025,109.84,80.11,16.27,19.2,52.65,20.96,78.025,Satisfactory,Winter,Jan
2015-01-15,Ahmedabad,1,2015,78.025,109.84,34.160000000000004,16.27,0.6,28.89,47.63,78.025,Satisfactory,Winter,Jan
2015-01-16,Ahmedabad,1,2015,78.025,109.84,46.209999999999994,16.27,1.63,38.27,46.03,78.025,Satisfactory,Winter,Jan
2015-01-17,Ahmedabad,1,2015,78.025,109.84,70.92,16.27,11.44,49.5,52.24,78.025,Satisfactory,Winter,Jan
2015-01-18,Ahmedabad,1,2015,78.025,109.84,61.44,16.27,6.1,48.43,53.49,78.025,Satisfactory,Winter,Jan
2015-01-19,Ahmedabad,1,2015,78.025,109.84,56.84,16.27,2.51,50.03,49.48,78.025,Satisfactory,Winter,Jan
2015-01-20,Ahmedabad,1,2015,78.025,109.84,67.12,16.27,7.92,58.87,56.37,78.025,Satisfactory,Winter,Jan
2015-01-21,Ahmedabad,1,2015,78.025,109.84,82.36,16.27,9.52,106.93,48.75,78.025,Satisfactory,Winter,Jan
2015-01-22,Ahmedabad,1,2015,78.025,109.84,48.89,16.27,9.05,23.71,42.22,78.025,Satisfactory,Winter,Jan
2015-01-23,Ahmedabad,1,2015,78.025,109.84,98.28,16.27,22.53,39.19,32.92,78.025,Satisfactory,Winter,Jan
2015-01-24,Ahmedabad,1,2015,78.025,109.84,43.82,16.27,2.03,40.07,32.49,78.025,Satisfactory,Winter,Jan
2015-01-25,Ahmedabad,1,2015,78.025,109.84,42.040000000000006,16.27,1.42,58.41,39.26,78.025,Satisfactory,Winter,Jan
2015-01-26,Ahmedabad,1,2015,78.025,109.84,45.239999999999995,16.27,2.27,43.73,39.83,78.025,Satisfactory,Winter,Jan
2015-01-27,Ahmedabad,1,2015,78.025,109.84,47.150000000000006,16.27,2.19,43.28,41.1,78.025,Satisfactory,Winter,Jan
2015-01-28,Ahmedabad,1,2015,73.24,109.84,52.67,16.27,5.72,36.52,62.42,73.24,Satisfactory,Winter,Jan
2015-01-29,Ahmedabad,1,2015,83.13,109.84,69.36,16.27,6.93,49.52,59.76,209.0,Poor,Winter,Jan
2015-01-30,Ahmedabad,1,2015,79.84,109.84,83.61,16.27,13.85,48.49,97.07,328.0,Very Poor,Winter,Jan
2015-01-31,Ahmedabad,1,2015,94.52,109.84,109.66,16.27,24.39,67.39,111.33,514.0,Severe,Winter,Jan
2015-02-01,Ahmedabad,2,2015,135.99,136.6,170.13,16.27,43.48,75.23,102.7,782.0,Severe,Winter,Feb
2015-02-02,Ahmedabad,2,2015,178.33,136.6,162.67000000000002,16.27,54.56,55.04,107.38,914.0,Severe,Winter,Feb
2015-02-03,Ahmedabad,2,2015,139.7,136.6,115.74,16.27,30.61,33.79,73.6,660.0,Severe,Winter,Feb
2015-02-04,Ahmedabad,2,2015,80.65,136.6,49.2,16.27,2.37,25.73,47.3,294.0,Poor,Winter,Feb
2015-02-05,Ahmedabad,2,2015,58.36,136.6,47.3,16.27,2.6,32.66,53.54,149.0,Moderate,Winter,Feb
2015-02-06,Ahmedabad,2,2015,79.29,136.6,54.93,16.27,1.16,67.41,59.3,190.0,Moderate,Winter,Feb
2015-02-07,Ahmedabad,2,2015,88.7,136.6,76.34,16.27,7.29,80.09,44.76,247.0,Poor,Winter,Feb
2015-02-08,Ahmedabad,2,2015,74.28,136.6,69.64,16.27,8.92,54.28,47.42,379.0,Very Poor,Winter,Feb
2015-02-09,Ahmedabad,2,2015,113.93,136.6,55.45,16.27,4.32,48.73,39.94,341.0,Very Poor,Winter,Feb
2015-02-10,Ahmedabad,2,2015,105.39,136.6,38.370000000000005,16.27,1.41,35.91,56.15,256.0,Poor,Winter,Feb
2015-02-11,Ahmedabad,2,2015,66.52,136.6,58.379999999999995,16.27,6.34,66.58,53.14,388.0,Very Poor,Winter,Feb
2015-02-12,Ahmedabad,2,2015,65.04,136.6,88.5,16.27,14.19,65.91,31.88,288.0,Poor,Winter,Feb
2015-02-13,Ahmedabad,2,2015,103.36,136.6,115.07,16.27,18.18,80.43,40.11,510.0,Severe,Winter,Feb
2015-02-14,Ahmedabad,2,2015,177.33,136.6,162.92,16.27,37.49,99.72,36.47,761.0,Severe,Winter,Feb
2015-02-15,Ahmedabad,2,2015,113.25,136.6,90.91999999999999,16.27,15.55,69.71,33.78,475.0,Severe,Winter,Feb
2015-02-16,Ahmedabad,2,2015,99.7,136.6,95.26,16.27,19.85,73.23,30.57,536.0,Severe,Winter,Feb
2015-02-17,Ahmedabad,2,2015,80.61,136.6,72.67,16.27,15.96,54.7,36.2,479.0,Severe,Winter,Feb
2015-02-18,Ahmedabad,2,2015,100.79,136.6,84.08,16.27,16.24,43.11,37.43,592.0,Severe,Winter,Feb
2015-02-19,Ahmedabad,2,2015,107.99,136.6,81.81,16.27,11.25,84.86,31.94,427.0,Severe,Winter,Feb
2015-02-20,Ahmedabad,2,2015,140.29,136.6,138.82999999999998,16.27,33.84,101.53,40.98,588.0,Severe,Winter,Feb
2015-02-21,Ahmedabad,2,2015,239.96,136.6,215.12,16.27,61.95,84.87,33.55,1141.0,Severe,Winter,Feb
2015-02-22,Ahmedabad,2,2015,142.96,136.6,185.98,16.27,45.45,62.96,34.77,669.0,Severe,Winter,Feb
2015-02-23,Ahmedabad,2,2015,238.41,136.6,264.09000000000003,16.27,77.7,89.07,37.3,1247.0,Severe,Winter,Feb
2015-02-24,Ahmedabad,2,2015,118.72,136.6,87.13,16.27,12.56,61.54,38.8,411.0,Severe,Winter,Feb
2015-02-25,Ahmedabad,2,2015,52.99,136.6,23.07,16.27,2.23,32.76,67.25,292.0,Poor,Winter,Feb
2015-02-26,Ahmedabad,2,2015,65.955,136.6,74.0,16.27,2.23,10.17,35.94,65.955,Satisfactory,Winter,Feb
2015-02-27,Ahmedabad,2,2015,65.955,136.6,74.0,16.27,2.23,10.17,35.94,65.955,Satisfactory,Winter,Feb
2015-02-28,Ahmedabad,2,2015,65.955,136.6,74.0,16.27,2.23,10.17,35.94,65.955,Satisfactory,Winter,Feb
2015-03-01,Ahmedabad,3,2015,61.12,111.46,41.31,16.27,3.58,28.44,30.48,61.12,Satisfactory,Summer,Mar
2015-03-02,Ahmedabad,3,2015,60.78,111.46,54.620000000000005,16.27,9.07,29.48,34.75,189.0,Moderate,Summer,Mar
2015-03-03,Ahmedabad,3,2015,91.83,111.46,82.46000000000001,16.27,12.99,39.71,38.46,408.0,Severe,Summer,Mar
2015-03-04,Ahmedabad,3,2015,93.88,111.46,94.6,16.27,18.21,62.75,46.79,383.0,Very Poor,Summer,Mar
2015-03-05,Ahmedabad,3,2015,173.01,111.46,181.44,16.27,48.44,78.76,59.39,780.0,Severe,Summer,Mar
2015-03-06,Ahmedabad,3,2015,51.93,111.46,59.71,16.27,48.44,9.83,35.74,51.93,Satisfactory,Summer,Mar
2015-03-07,Ahmedabad,3,2015,105.45,111.46,37.260000000000005,16.27,2.5,29.29,69.9,105.45,Moderate,Summer,Mar
2015-03-08,Ahmedabad,3,2015,71.56,111.46,40.66,16.27,3.51,30.28,57.16,190.0,Moderate,Summer,Mar
2015-03-09,Ahmedabad,3,2015,119.8,111.46,56.099999999999994,16.27,4.13,50.35,50.49,233.0,Poor,Summer,Mar
2015-03-10,Ahmedabad,3,2015,106.71,111.46,61.49,16.27,5.39,38.85,60.17,297.0,Poor,Summer,Mar
2015-03-11,Ahmedabad,3,2015,118.49,111.46,64.88,16.27,4.11,54.2,53.61,330.0,Very Poor,Summer,Mar
2015-03-12,Ahmedabad,3,2015,106.01,111.46,62.129999999999995,16.27,4.28,70.29,40.91,252.0,Poor,Summer,Mar
2015-03-13,Ahmedabad,3,2015,97.34,111.46,49.870000000000005,16.27,3.67,64.39,45.69,244.0,Poor,Summer,Mar
2015-03-14,Ahmedabad,3,2015,83.92,111.46,62.25,16.27,6.42,67.53,34.94,234.0,Poor,Summer,Mar
2015-03-15,Ahmedabad,3,2015,49.51,111.46,33.41,16.27,3.1,48.33,37.95,219.0,Poor,Summer,Mar
